
Ticker           GLD       QQQ       SPY       TLT
Date                                              
2015-01-02       NaN       NaN       NaN       NaN
2015-01-05  0.015077 -0.014669 -0.018060  0.015708
2015-01-06  0.011399 -0.013408 -0.009419  0.018018
2015-01-07 -0.005891  0.012890  0.012461 -0.001975
2015-01-08 -0.004209  0.019140  0.017745 -0.013243
Ticker          GLD          QQQ          SPY          TLT
count   2515.000000  2515.000000  2515.000000  2515.000000
mean       0.000339     0.000763     0.000548    -0.000003
std        0.008895     0.013745     0.011099     0.009648
min       -0.053694    -0.119788    -0.109424    -0.066682
25%       -0.004644    -0.005089    -0.003705    -0.005817
50%        0.000497     0.001197     0.000596     0.000337
75%        0.005087     0.007853     0.005927     0.005650
max        0.049038     0.084705     0.090603     0.075195
